repo_name,week,commit_sha,dependency,version,concreteVersion,dependency_type
tact-lang/tact-template,2024-W34,d2c190dfccf45aa8e35c51bffcc2231f65a1be7e,@types/node,^18.11.14,18.19.45,normal
tact-lang/tact-template,2024-W34,d2c190dfccf45aa8e35c51bffcc2231f65a1be7e,@types/qs,^6.9.7,6.9.15,normal
tact-lang/tact-template,2024-W34,d2c190dfccf45aa8e35c51bffcc2231f65a1be7e,base64url,^3.0.1,3.0.1,normal
tact-lang/tact-template,2024-W34,d2c190dfccf45aa8e35c51bffcc2231f65a1be7e,enquirer,^2.3.6,2.4.1,normal
tact-lang/tact-template,2024-W34,d2c190dfccf45aa8e35c51bffcc2231f65a1be7e,jest,^29.3.1,29.7.0,normal
tact-lang/tact-template,2024-W34,d2c190dfccf45aa8e35c51bffcc2231f65a1be7e,open,^8.4.0,8.4.2,normal
tact-lang/tact-template,2024-W34,d2c190dfccf45aa8e35c51bffcc2231f65a1be7e,prando,^6.0.1,6.0.1,normal
tact-lang/tact-template,2024-W34,d2c190dfccf45aa8e35c51bffcc2231f65a1be7e,prettier,^2.5.1,2.8.8,normal
tact-lang/tact-template,2024-W34,d2c190dfccf45aa8e35c51bffcc2231f65a1be7e,qs,^6.11.0,6.13.0,normal
tact-lang/tact-template,2024-W34,d2c190dfccf45aa8e35c51bffcc2231f65a1be7e,ts-jest,^29.0.3,29.2.5,normal
tact-lang/tact-template,2024-W34,d2c190dfccf45aa8e35c51bffcc2231f65a1be7e,ts-node,^10.9.1,10.9.2,normal
tact-lang/tact-template,2024-W34,d2c190dfccf45aa8e35c51bffcc2231f65a1be7e,typescript,^4.9.4,4.9.5,normal
tact-lang/tact-template,2024-W37,0e924b9c0c903cc4316610a7a92423415fd2478b,@tact-lang/compiler,~1.5.0,~1.5.0,normal
tact-lang/tact-template,2024-W37,0e924b9c0c903cc4316610a7a92423415fd2478b,@tact-lang/deployer,^0.2.0,0.2.0,normal
tact-lang/tact-template,2024-W37,0e924b9c0c903cc4316610a7a92423415fd2478b,@tact-lang/ton-abi,^0.0.3,0.0.3,normal
tact-lang/tact-template,2024-W37,0e924b9c0c903cc4316610a7a92423415fd2478b,@tact-lang/ton-jest,^0.0.4,0.0.4,normal
tact-lang/tact-template,2024-W37,0e924b9c0c903cc4316610a7a92423415fd2478b,@ton/core,~0.56.3,0.56.3,normal
tact-lang/tact-template,2024-W37,0e924b9c0c903cc4316610a7a92423415fd2478b,@ton/crypto,^3.2.0,3.3.0,normal
tact-lang/tact-template,2024-W37,0e924b9c0c903cc4316610a7a92423415fd2478b,@ton/sandbox,^0.20.0,0.20.0,normal
tact-lang/tact-template,2024-W37,0e924b9c0c903cc4316610a7a92423415fd2478b,@ton/test-utils,^0.4.2,0.4.2,normal
tact-lang/tact-template,2024-W37,0e924b9c0c903cc4316610a7a92423415fd2478b,@ton/ton,^13.9.0,13.11.2,normal
tact-lang/tact-template,2024-W37,0e924b9c0c903cc4316610a7a92423415fd2478b,@types/jest,^29.2.4,29.5.13,normal
tact-lang/tact-template,2024-W37,0e924b9c0c903cc4316610a7a92423415fd2478b,@types/node,^18.11.14,18.19.50,normal
tact-lang/tact-template,2024-W37,0e924b9c0c903cc4316610a7a92423415fd2478b,@types/qs,^6.9.7,6.9.16,normal
