,repo_name,file_path,file_url,,
67,SlyyCooper/cursorrules-architect,.cursor/rules/phase-5-docs.mdc,https://github.com/SlyyCooper/cursorrules-architect/blob/1b8ad985d2fd1b380194e94aef663c259e913daf/.cursor/rules/phase-5-docs.mdc,,
68,codingforentrepreneurs/Cursor-Django,.cursorrules,https://github.com/codingforentrepreneurs/Cursor-Django/blob/62068036fd145b8473920dbf910b42e5bf96d54a/.cursorrules,,
69,DataScienceUIBK/Rankify,.cursorrules,https://github.com/DataScienceUIBK/Rankify/blob/330cb591314660dba02749a21dea0a357c25cb8b/.cursorrules,,
70,neal-zhu/sentinel,.cursor/rules/documentation/markdown-auto.mdc,https://github.com/neal-zhu/sentinel/blob/b9bc1b77d685a98aa5dd25b897d558d65fff8de1/.cursor/rules/documentation/markdown-auto.mdc,,
71,jlcases/paelladoc,.cursor/rules/scripts/simple_pdf_generator.py,https://github.com/jlcases/paelladoc/blob/02e99aeff4e01e3f04322edc7011730eb7b3860c/.cursor/rules/scripts/simple_pdf_generator.py,,
72,kitlangton/Void,.cursor/rules/dependency-client.mdc,https://github.com/kitlangton/Void/blob/56cea0ee6afa54a33f6a5f008afcb36404804990/.cursor/rules/dependency-client.mdc,,
73,wardbox/roke,.cursor/rules/dependencies.md,https://github.com/wardbox/roke/blob/b534c5132e3e6c7aeab2930f8f3666e4585fddd9/.cursor/rules/dependencies.md,,
74,PatrickJS/awesome-cursorrules,rules/typescript-vite-tailwind-cursorrules-prompt-file/.cursorrules,https://github.com/PatrickJS/awesome-cursorrules/blob/7e4db830d65c8951463863dd25cc39b038d34e02/rules/typescript-vite-tailwind-cursorrules-prompt-file/.cursorrules,,
75,scoful/pocker,.cursorignore,https://github.com/scoful/pocker/blob/45a7d9974e2f8e1ced04b98568e7742714d5bb50/.cursorignore,,
76,different-ai/note-companion,.cursor/rules/web-development.mdc,https://github.com/different-ai/note-companion/blob/ee348a83eb855f4e568c49c92874dd4aa37d9a03/.cursor/rules/web-development.mdc,,
77,jlcases/paelladoc,.cursor/rules/templates/product_management/project_status.md,https://github.com/jlcases/paelladoc/blob/02e99aeff4e01e3f04322edc7011730eb7b3860c/.cursor/rules/templates/product_management/project_status.md,,
78,radzionc/guitar,.cursor/rules/use-fetch.mdc,https://github.com/radzionc/guitar/blob/3cd0a48c316c6d22809bdac0acadab0628381f46/.cursor/rules/use-fetch.mdc,,
79,BodhiSearch/BodhiApp,.cursorrules,https://github.com/BodhiSearch/BodhiApp/blob/c19219f0c634ca24ab3fef55272ad8386c575e2f/.cursorrules,,
