repo_name,week,commits,lines_added,contributors
MathiasGruber/TheNinjaRPG,2023-W52,16,0,1
MathiasGruber/TheNinjaRPG,2023-W51,18,0,1
MathiasGruber/TheNinjaRPG,2023-W46,1,0,1
MathiasGruber/TheNinjaRPG,2023-W45,22,0,1
MathiasGruber/TheNinjaRPG,2023-W44,6,0,1
MathiasGruber/TheNinjaRPG,2023-W43,33,0,1
MathiasGruber/TheNinjaRPG,2023-W42,25,0,1
MathiasGruber/TheNinjaRPG,2023-W41,10,0,1
MathiasGruber/TheNinjaRPG,2023-W40,22,0,2
MathiasGruber/TheNinjaRPG,2023-W39,16,0,1
MathiasGruber/TheNinjaRPG,2023-W38,31,0,1
MathiasGruber/TheNinjaRPG,2023-W37,17,0,1
MathiasGruber/TheNinjaRPG,2023-W36,35,0,1
MathiasGruber/TheNinjaRPG,2023-W35,33,0,1
MathiasGruber/TheNinjaRPG,2023-W34,8,0,1
MathiasGruber/TheNinjaRPG,2023-W33,46,0,2
MathiasGruber/TheNinjaRPG,2023-W31,4,0,1
MathiasGruber/TheNinjaRPG,2023-W30,51,0,1
MathiasGruber/TheNinjaRPG,2023-W29,9,0,1
MathiasGruber/TheNinjaRPG,2023-W28,26,0,1
federicofanini/gymbrah.com,2025-W12,1,0,1
federicofanini/gymbrah.com,2025-W11,1,0,1
federicofanini/gymbrah.com,2025-W10,6,0,1
federicofanini/gymbrah.com,2025-W07,21,0,1
federicofanini/gymbrah.com,2025-W06,40,0,1
federicofanini/gymbrah.com,2025-W05,76,0,1
federicofanini/gymbrah.com,2025-W02,16,0,1
federicofanini/gymbrah.com,2025-W01,90,0,1
federicofanini/gymbrah.com,2025-W00,30,0,1
federicofanini/gymbrah.com,2024-W52,1,0,1
imhonglu/new-wheels,2025-W09,10,0,3
imhonglu/new-wheels,2025-W08,26,0,3
imhonglu/new-wheels,2025-W07,16,0,3
imhonglu/new-wheels,2025-W06,10,0,3
imhonglu/new-wheels,2025-W05,5,0,1
imhonglu/new-wheels,2025-W04,36,0,3
imhonglu/new-wheels,2025-W03,40,0,3
imhonglu/new-wheels,2025-W02,98,0,3
imhonglu/new-wheels,2025-W01,37,0,2
imhonglu/new-wheels,2024-W30,1,0,1
Bistutu/FluentRead,2025-W10,1,0,1
Bistutu/FluentRead,2025-W09,9,0,1
Bistutu/FluentRead,2025-W08,2,0,2
Bistutu/FluentRead,2025-W07,6,0,2
Bistutu/FluentRead,2025-W06,3,0,1
Bistutu/FluentRead,2025-W05,3,0,1
Bistutu/FluentRead,2025-W04,2,0,1
Bistutu/FluentRead,2025-W03,11,0,1
Bistutu/FluentRead,2025-W02,17,0,1
Bistutu/FluentRead,2024-W24,1,0,1
Bistutu/FluentRead,2024-W23,1,0,1
Bistutu/FluentRead,2024-W22,24,0,1
Bistutu/FluentRead,2024-W21,19,0,1
Bistutu/FluentRead,2024-W20,27,0,1
Bistutu/FluentRead,2024-W18,2,0,1
Bistutu/FluentRead,2024-W17,8,0,1
Bistutu/FluentRead,2024-W16,4,0,1
Bistutu/FluentRead,2024-W15,10,0,1
Bistutu/FluentRead,2024-W14,17,0,1
Bistutu/FluentRead,2024-W13,1,0,1
Bistutu/FluentRead,2024-W12,1,0,1
Bistutu/FluentRead,2024-W10,6,0,1
Bistutu/FluentRead,2024-W09,22,0,1
Bistutu/FluentRead,2024-W07,50,0,1
Bistutu/FluentRead,2024-W06,50,0,1
Bistutu/FluentRead,2024-W05,13,0,1
Bistutu/FluentRead,2024-W04,4,0,2
Bistutu/FluentRead,2024-W02,1,0,1
Bistutu/FluentRead,2024-W01,1,0,1
Bistutu/FluentRead,2023-W52,15,0,2
Bistutu/FluentRead,2023-W51,37,0,2
Hankanman/Area-Occupancy-Detection,2025-W12,1,0,1
Hankanman/Area-Occupancy-Detection,2025-W04,7,0,1
Hankanman/Area-Occupancy-Detection,2024-W51,53,0,2
Hankanman/Area-Occupancy-Detection,2024-W50,60,0,2
Hankanman/Area-Occupancy-Detection,2024-W49,28,0,1
Hankanman/Area-Occupancy-Detection,2024-W48,21,0,1
Hankanman/Area-Occupancy-Detection,2024-W47,25,0,2
collinschaafsma/startstack,2025-W02,3,0,1
collinschaafsma/startstack,2024-W50,4,0,1
collinschaafsma/startstack,2024-W47,2,0,1
collinschaafsma/startstack,2024-W44,14,0,1
collinschaafsma/startstack,2024-W43,18,0,1
collinschaafsma/startstack,2024-W42,11,0,1
collinschaafsma/startstack,2024-W41,36,0,1
collinschaafsma/startstack,2024-W40,14,0,1
collinschaafsma/startstack,2024-W39,15,0,1
collinschaafsma/startstack,2024-W38,7,0,1
collinschaafsma/startstack,2024-W37,4,0,1
collinschaafsma/startstack,2024-W36,17,0,1
davidgasquez/dotfiles,2025-W12,3,0,1
davidgasquez/dotfiles,2025-W11,1,0,1
davidgasquez/dotfiles,2025-W10,5,0,1
davidgasquez/dotfiles,2025-W09,3,0,1
davidgasquez/dotfiles,2025-W08,9,0,1
davidgasquez/dotfiles,2025-W07,7,0,1
davidgasquez/dotfiles,2025-W06,20,0,1
davidgasquez/dotfiles,2025-W05,3,0,1
davidgasquez/dotfiles,2025-W04,4,0,1
davidgasquez/dotfiles,2025-W03,8,0,1
davidgasquez/dotfiles,2025-W02,3,0,1
davidgasquez/dotfiles,2025-W01,11,0,1
davidgasquez/dotfiles,2025-W00,5,0,1
