repo_name,cursor_commits,cursor_adoptor_percentage,cursor_adoption_time
pnd280/complexity,21,99.77653631284916,2024-10-15T22:06:08
focu-app/focu,8,99.72602739726028,2024-09-13T01:55:11
techblitzdev/TechBlitz,8,99.67649173256649,2024-12-19T18:29:17
piotrkulpinski/openalternative,3,99.65782720273738,2024-11-18T08:12:09
formml/formml,3,99.65156794425087,2024-10-25T00:05:28
olyaiy/resume-lm,11,99.61089494163424,2024-12-23T19:02:15
deeeed/expo-audio-stream,8,99.59128065395095,2024-12-10T01:17:26
one-ie/one,7,99.4949494949495,2025-02-10T13:35:33
unmonk/chainlink,11,99.47643979057592,2024-09-18T18:02:34
androiddevnotes/android-modern-movie-app,2,99.45799457994579,2024-09-15T02:04:24
indiesoftby/defold-yagames,1,99.45054945054946,2024-10-07T11:01:47
koljapluemer/learn-worldmap,2,99.42196531791907,2025-03-15T06:32:09
taishikato/supavec,5,99.40546967895362,2025-02-24T22:59:27
un/1up,5,99.39577039274926,2025-03-18T15:47:04
sshh12/spark-stack,10,99.38461538461539,2024-11-09T13:14:07
nikhgupta/dotfiles,1,99.37106918238993,2024-06-09T00:52:30
baku89/tweeq,3,99.33444259567388,2025-03-25T02:57:48
maciej-trebacz/ff7-ultima,9,99.16666666666667,2025-01-19T11:09:16
dcramer/peated,9,99.09803921568627,2024-10-08T12:12:16
metaskills/experts,2,99.08256880733946,2024-09-06T14:03:45
Hankanman/Area-Occupancy-Detection,19,99.05362776025235,2024-12-13T04:43:28
Coyenn/personal-site,1,99.03846153846155,2025-03-08T10:06:08
EugenEistrach/et-stack,20,99.03381642512076,2024-10-02T14:42:05
Noveum/ai-gateway,3,98.93617021276596,2024-11-07T05:49:31
fumiya-kume/mdefaults,10,98.91891891891892,2025-01-11T02:09:42
cbingb666/115master,10,98.89502762430939,2025-02-17T13:31:37
mazeincoding/Mazeway,6,98.86845827439888,2024-12-09T10:21:03
ai-hero-dev/ai-hero,24,98.86363636363636,2025-03-25T05:58:01
LubomirGeorgiev/cloudflare-workers-nextjs-saas-template,17,98.85057471264368,2025-01-09T17:16:34
radzionc/radzionkit,20,98.82154882154882,2025-02-09T23:11:49
veloplanner/map-matrix,1,98.73417721518987,2024-11-18T04:37:56
jlcases/paelladoc,21,98.7012987012987,2025-03-13T16:11:23
LastBotInc/nextjs-supabase-ai-webapp,49,98.69706840390879,2025-02-18T08:43:07
FreePeak/db-mcp-server,28,98.68421052631578,2025-03-16T13:37:23
cameronapak/freedom-stack,6,98.64864864864865,2024-10-28T20:56:55
GatoGraphQL/GatoGraphQL,28,98.63091075367153,2025-03-18T23:04:46
medusajs/examples,2,98.63013698630137,2025-03-19T08:58:11
jparkerweb/pixel-banner,19,98.56938483547926,2024-09-20T10:27:22
masterkram/minted-directory-astro,5,98.55072463768117,2025-03-18T13:39:07
